file,Best_Baseline_Algo,Best_Baseline_Score,Best_TSPulse_Algo,Best_TSPulse_Score,TSPulse_ZS_ensemble,Diff_ZS_vs_Baseline
136_OPPORTUNITY_id_8_HumanActivity_tr_1495_1st_1595,PCA,0.1359645139849822,TSPulse_ZS_scaled_ensemble,0.0155705311326847,0.0152309281124701,-0.1203939828522975
092_SVDB_id_9_Medical_tr_2674_1st_2774,OmniAnomaly,0.7884379372970407,TSPulse_ZS_time,0.6490994038859308,0.6148251722989995,-0.1393385334111099
013_MSL_id_12_Sensor_tr_554_1st_1200,KMeansAD,0.9971328585900048,TSPulse2_tuning_set_channel_selection,0.8470644187318087,0.0346365848082868,-0.15006843985819607
138_CATSv2_id_1_Sensor_tr_16568_1st_16668,FITS,0.2013374605640239,TSPulse_ZS_time,0.0487206616344067,0.0260042822517033,-0.15261679892961721
169_SMAP_id_26_Sensor_tr_1811_1st_4510,TimesNet,0.2439611665747793,TSPulse_ZS_time,0.0877858681491105,0.0746396659406495,-0.1561752984256688
060_SMD_id_4_Facility_tr_7176_1st_10609,AutoEncoder,0.531336151573894,TSPulse_ZS_scaled_ensemble,0.3667381697861538,0.3309392366843882,-0.1645979817877402
073_SMD_id_17_Facility_tr_5926_1st_10620,CNN,0.4541513615095516,TSPulse_ZS_forecast,0.2841439293764338,0.1409353017218813,-0.1700074321331178
117_TAO_id_2_Environment_tr_500_1st_1,MCD,0.9999985766054208,TSPulse_ZS_forecast,0.8181856086032782,0.7253739774492728,-0.18181296800214264
141_CATSv2_id_4_Sensor_tr_41727_1st_41827,PCA,0.2459297349361418,TSPulse_ZS_ensemble,0.062745518787434,0.062745518787434,-0.18318421614870778
134_OPPORTUNITY_id_6_HumanActivity_tr_1477_1st_1577,PCA,0.2085295963308638,TSPulse_ZS_scaled_ensemble,0.0232406876184649,0.0222325585030444,-0.1852889087123989
036_GHL_id_5_Sensor_tr_50000_1st_67147,RobustPCA,0.2089867230424667,TSPulse2_tuning_set_channel_selection,0.0221332443573868,0.0082338386616176,-0.1868534786850799
147_SMAP_id_4_Sensor_tr_2160_1st_6449,KMeansAD,0.2269003239004033,TSPulse_ZS_forecast,0.0288441437894954,0.0262714673665284,-0.1980561801109079
143_CATSv2_id_6_Sensor_tr_50000_1st_60232,MCD,0.2327530537365804,TSPulse_ZS_scaled_ensemble,0.029571776998087,0.0290309029284728,-0.2031812767384934
132_OPPORTUNITY_id_4_HumanActivity_tr_895_1st_995,PCA,0.2428841337073384,TSPulse_ZS_forecast,0.0379337871111112,0.0354070458204759,-0.2049503465962272
135_OPPORTUNITY_id_7_HumanActivity_tr_2085_1st_2185,PCA,0.2365822430092415,TSPulse_ZS_scaled_ensemble,0.0304997449622965,0.0292954501487717,-0.206082498046945
050_GHL_id_19_Sensor_tr_43750_1st_55001,AnomalyTransformer,0.2459494974192974,TSPulse_ZS_forecast,0.0326293786534679,0.0091550828672107,-0.2133201187658295
129_OPPORTUNITY_id_1_HumanActivity_tr_1801_1st_1901,LOF,0.2351509014733171,TSPulse_ZS_scaled_ensemble,0.0208028926468518,0.0206585147738393,-0.2143480088264653
157_SMAP_id_14_Sensor_tr_2126_1st_5000,Donut,0.310127885707356,TSPulse_ZS_fft,0.086836422220374,0.0851069716828054,-0.223291463486982
151_SMAP_id_8_Sensor_tr_1971_1st_4870,KMeansAD,0.3301285792096704,TSPulse_ZS_scaled_ensemble,0.1018913944597665,0.0898656539937351,-0.22823718474990393
075_SMD_id_19_Facility_tr_564_1st_664,PCA,0.7779039663551687,TSPulse_ZS_forecast,0.5074936311134399,0.4929780800218591,-0.27041033524172875
165_SMAP_id_22_Sensor_tr_2129_1st_5000,CBLOF,0.3380207670113687,TSPulse_ZS_fft,0.0646677940975442,0.0640624780163883,-0.2733529729138245
146_SMAP_id_3_Sensor_tr_2128_1st_5000,Donut,0.3419306639317378,TSPulse_ZS_fft,0.0671960447293762,0.0666640921579103,-0.27473461920236164
